"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2012","Luxembourg","Thousand passengers","19,691",""
"2012","Hungary","Millions of passenger-kilometres","7,769",""
"2012","Hungary","Thousand passengers","147,688",""
"2012","Netherlands","Millions of passenger-kilometres",":","c"
"2012","Netherlands","Thousand passengers",":","c"
"2012","Austria","Millions of passenger-kilometres","11,211",""
"2012","Austria","Thousand passengers","260,518",""
"2012","Poland","Millions of passenger-kilometres","17,674",""
"2012","Poland","Thousand passengers","266,011",""
"2012","Portugal","Millions of passenger-kilometres","3,803",""
"2012","Portugal","Thousand passengers","132,212",""
"2012","Romania","Millions of passenger-kilometres","4,550",""
"2012","Romania","Thousand passengers","57,530",""
"2012","Slovenia","Millions of passenger-kilometres","659",""
"2012","Slovenia","Thousand passengers","15,086",""
"2012","Slovakia","Millions of passenger-kilometres","2,459",""
"2012","Slovakia","Thousand passengers","44,609",""
"2012","Finland","Millions of passenger-kilometres","4,035",""
"2012","Finland","Thousand passengers","69,331",""
"2012","Sweden","Millions of passenger-kilometres","11,792",""
"2012","Sweden","Thousand passengers","193,163",""
"2012","United Kingdom","Millions of passenger-kilometres","60,783",""
"2012","United Kingdom","Thousand passengers","1,543,261",""
"2012","Liechtenstein","Millions of passenger-kilometres","1",""
"2012","Liechtenstein","Thousand passengers","96",""
"2012","Norway","Millions of passenger-kilometres","3,092",""
"2012","Norway","Thousand passengers","62,689",""
"2012","Switzerland","Millions of passenger-kilometres","19,180",""
"2012","Switzerland","Thousand passengers","513,860",""
"2012","Montenegro","Millions of passenger-kilometres",":",""
"2012","Montenegro","Thousand passengers",":",""
"2012","North Macedonia","Millions of passenger-kilometres","99",""
"2012","North Macedonia","Thousand passengers","1,013",""
"2012","Turkey","Millions of passenger-kilometres","4,598",""
"2012","Turkey","Thousand passengers","70,284",""
"2012","Bosnia and Herzegovina","Millions of passenger-kilometres",":",""
"2012","Bosnia and Herzegovina","Thousand passengers",":",""
"2013","European Union - 27 countries (from 2020)","Millions of passenger-kilometres",":","c"
"2013","European Union - 27 countries (from 2020)","Thousand passengers",":","c"
"2013","European Union - 28 countries (2013-2020)","Millions of passenger-kilometres",":","c"
"2013","European Union - 28 countries (2013-2020)","Thousand passengers",":","c"
"2013","European Union - 27 countries (2007-2013)","Millions of passenger-kilometres",":","c"
"2013","European Union - 27 countries (2007-2013)","Thousand passengers",":","c"
"2013","Belgium","Millions of passenger-kilometres",":","c"
"2013","Belgium","Thousand passengers",":","c"
"2013","Bulgaria","Millions of passenger-kilometres","1,821",""
"2013","Bulgaria","Thousand passengers","26,059",""
"2013","Czechia","Millions of passenger-kilometres","7,512",""
"2013","Czechia","Thousand passengers","174,189",""
"2013","Denmark","Millions of passenger-kilometres","6,785",""
"2013","Denmark","Thousand passengers","206,160",""
"2013","Germany (until 1990 former territory of the FRG)","Millions of passenger-kilometres","89,450",""
"2013","Germany (until 1990 former territory of the FRG)","Thousand passengers","2,612,764",""
"2013","Estonia","Millions of passenger-kilometres","223",""
"2013","Estonia","Thousand passengers","4,199",""
"2013","Ireland","Millions of passenger-kilometres","1,569",""
"2013","Ireland","Thousand passengers","37,130",""
"2013","Greece","Millions of passenger-kilometres","1,056",""
"2013","Greece","Thousand passengers","13,195",""
"2013","Spain","Millions of passenger-kilometres","23,755",""
"2013","Spain","Thousand passengers","563,269",""
"2013","France","Millions of passenger-kilometres","90,485",""
"2013","France","Thousand passengers","1,164,822",""
"2013","Croatia","Millions of passenger-kilometres","935",""
"2013","Croatia","Thousand passengers","24,216",""
"2013","Italy","Millions of passenger-kilometres","48,739",""
"2013","Italy","Thousand passengers","854,756",""
"2013","Latvia","Millions of passenger-kilometres","721",""
"2013","Latvia","Thousand passengers","19,730",""
"2013","Lithuania","Millions of passenger-kilometres","278",""
"2013","Lithuania","Thousand passengers","4,346",""
"2013","Luxembourg","Millions of passenger-kilometres","394",""
"2013","Luxembourg","Thousand passengers","20,549",""
"2013","Hungary","Millions of passenger-kilometres","7,806",""
"2013","Hungary","Thousand passengers","148,379",""
"2013","Netherlands","Millions of passenger-kilometres",":","c"
"2013","Netherlands","Thousand passengers",":","c"
"2013","Austria","Millions of passenger-kilometres","11,804",""
"2013","Austria","Thousand passengers","271,888",""
"2013","Poland","Millions of passenger-kilometres","16,659",""
"2013","Poland","Thousand passengers","262,382",""
"2013","Portugal","Millions of passenger-kilometres","3,649",""
"2013","Portugal","Thousand passengers","126,079",""
"2013","Romania","Millions of passenger-kilometres","4,382",""
"2013","Romania","Thousand passengers","57,393",""
"2013","Slovenia","Millions of passenger-kilometres","679",""
"2013","Slovenia","Thousand passengers","15,995",""
"2013","Slovakia","Millions of passenger-kilometres","2,485",""
"2013","Slovakia","Thousand passengers","45,946",""
"2013","Finland","Millions of passenger-kilometres","4,053",""
"2013","Finland","Thousand passengers","69,318",""
"2013","Sweden","Millions of passenger-kilometres","11,842",""
"2013","Sweden","Thousand passengers","200,706",""
"2013","United Kingdom","Millions of passenger-kilometres","61,950",""
"2013","United Kingdom","Thousand passengers","1,599,484",""
"2013","Liechtenstein","Millions of passenger-kilometres","1",""
"2013","Liechtenstein","Thousand passengers","96",""
"2013","Norway","Millions of passenger-kilometres","3,260",""
"2013","Norway","Thousand passengers","67,251",""
"2013","Switzerland","Millions of passenger-kilometres","19,368",""
"2013","Switzerland","Thousand passengers","540,352",""
"2013","Montenegro","Millions of passenger-kilometres","73",""
"2013","Montenegro","Thousand passengers","922",""
"2013","North Macedonia","Millions of passenger-kilometres","80",""
"2013","North Macedonia","Thousand passengers","853",""
"2013","Turkey","Millions of passenger-kilometres","3,775",""
"2013","Turkey","Thousand passengers","46,442",""
"2013","Bosnia and Herzegovina","Millions of passenger-kilometres",":",""
"2013","Bosnia and Herzegovina","Thousand passengers",":",""
"2014","European Union - 27 countries (from 2020)","Millions of passenger-kilometres",":","c"
"2014","European Union - 27 countries (from 2020)","Thousand passengers",":","c"
"2014","European Union - 28 countries (2013-2020)","Millions of passenger-kilometres",":","c"
"2014","European Union - 28 countries (2013-2020)","Thousand passengers",":","c"
"2014","European Union - 27 countries (2007-2013)","Millions of passenger-kilometres",":","c"
"2014","European Union - 27 countries (2007-2013)","Thousand passengers",":","c"
"2014","Belgium","Millions of passenger-kilometres",":","c"
"2014","Belgium","Thousand passengers",":","c"
"2014","Bulgaria","Millions of passenger-kilometres","1,698",""
"2014","Bulgaria","Thousand passengers","24,615",""
"2014","Czechia","Millions of passenger-kilometres","7,644",""
"2014","Czechia","Thousand passengers","175,705",""
"2014","Denmark","Millions of passenger-kilometres","6,513",""
"2014","Denmark","Thousand passengers","208,311",""
"2014","Germany (until 1990 former territory of the FRG)","Millions of passenger-kilometres","90,978",""
"2014","Germany (until 1990 former territory of the FRG)","Thousand passengers","2,693,080",""
"2014","Estonia","Millions of passenger-kilometres","280",""
"2014","Estonia","Thousand passengers","5,905",""
"2014","Ireland","Millions of passenger-kilometres","1,728",""
"2014","Ireland","Thousand passengers","38,517",""
"2014","Greece","Millions of passenger-kilometres","1,072",""
