"Cestna vozila konec leta (31.12.) glede na vrsto vozila in statistièno regijo, Slovenija, letno"

"VRSTA VOZILA";"STATISTIÈNA REGIJA";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"..avtobusi";"Obalno-kraška";138;141;152;151;148;183;185;196;195;203;196;203;179;193
"..tovorna motorna vozila";"Pomurska";3499;3866;4091;4117;4157;4149;4042;4081;4194;4302;4445;4664;4872;5082
"..tovorna motorna vozila";"Podravska";11380;12427;13347;13209;13301;13280;13269;13538;13888;14472;15329;16295;17334;18400
"..tovorna motorna vozila";"Koroška";2124;2404;2582;2586;2603;2717;2758;2850;2868;2996;3140;3309;3472;3575
"..tovorna motorna vozila";"Savinjska";9385;10538;11651;11634;11818;12092;12087;12198;12551;13089;14027;15114;16328;17310
"..tovorna motorna vozila";"Zasavska";878;962;1061;1073;1045;1034;1010;1015;1019;1757;1909;1975;2123;2246
"..tovorna motorna vozila";"Posavska";2219;2407;2606;2666;2654;2690;2703;2747;2849;3141;3354;3594;3883;4130
"..tovorna motorna vozila";"Jugovzhodna Slovenija";5463;6029;6540;6462;6493;6559;6547;6606;6720;7072;7481;8002;8550;8989
"..tovorna motorna vozila";"Osrednjeslovenska";21697;24172;26323;26490;26595;26641;26925;26881;27754;28447;30152;32367;34822;36655
"..tovorna motorna vozila";"Gorenjska";5808;6390;6937;6959;7105;7267;7427;7572;7874;8169;8671;9186;9731;10149
"..tovorna motorna vozila";"Primorsko-notranjska";1713;1884;2103;2143;2203;2288;2293;2340;2405;2513;2686;2840;3022;3167
"..tovorna motorna vozila";"Goriška";4695;5039;5395;5425;5454;5496;5421;5459;5615;5833;6175;6521;6813;7098
"..tovorna motorna vozila";"Obalno-kraška";4777;5400;5801;5693;5791;5736;5363;5273;5404;5667;6028;6390;6785;6984
"....tovornjaki";"Pomurska";2530;2826;2995;3066;3088;3102;3051;3089;3177;3220;3324;3503;3664;3836
"....tovornjaki";"Podravska";9120;9822;10484;10565;10630;10536;10507;10699;10892;11273;11802;12539;13315;14233
"....tovornjaki";"Koroška";1733;1925;2053;2072;2090;2192;2209;2278;2281;2399;2514;2661;2768;2855
"....tovornjaki";"Savinjska";7237;8000;8728;8752;8828;8956;8901;8874;9042;9243;9687;10377;11116;11781
"....tovornjaki";"Zasavska";712;781;868;891;865;853;827;826;842;1431;1560;1597;1726;1813
"....tovornjaki";"Posavska";1753;1894;2046;2112;2103;2137;2155;2158;2246;2443;2583;2710;2865;3047
