"TIME","GEO","UNIT","VEHICLE","Value","Flag and Footnotes"
"2010","Spain","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","50,902","d"
"2010","France","Millions of passenger-kilometres","Total","860,672",""
"2010","France","Millions of passenger-kilometres","Motorcycles",":",""
"2010","France","Millions of passenger-kilometres","Passenger cars","810,793",""
"2010","France","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","49,879",""
"2010","Croatia","Millions of passenger-kilometres","Total","3,284",""
"2010","Croatia","Millions of passenger-kilometres","Motorcycles",":",""
"2010","Croatia","Millions of passenger-kilometres","Passenger cars",":",""
"2010","Croatia","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","3,284","d"
"2010","Italy","Millions of passenger-kilometres","Total","849,192","e"
"2010","Italy","Millions of passenger-kilometres","Motorcycles","41,480","e"
"2010","Italy","Millions of passenger-kilometres","Passenger cars","698,390","e"
"2010","Italy","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","109,322",""
"2010","Latvia","Millions of passenger-kilometres","Total","15,012",""
"2010","Latvia","Millions of passenger-kilometres","Motorcycles",":",""
"2010","Latvia","Millions of passenger-kilometres","Passenger cars","12,312.34",""
"2010","Latvia","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","2,699.66",""
"2010","Lithuania","Millions of passenger-kilometres","Total","35,623.8","d"
"2010","Lithuania","Millions of passenger-kilometres","Motorcycles","361.3",""
"2010","Lithuania","Millions of passenger-kilometres","Passenger cars","32,568.9",""
"2010","Lithuania","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","2,693.6",""
"2010","Luxembourg","Millions of passenger-kilometres","Total",":",""
"2010","Luxembourg","Millions of passenger-kilometres","Motorcycles",":",""
"2010","Luxembourg","Millions of passenger-kilometres","Passenger cars",":",""
"2010","Luxembourg","Millions of passenger-kilometres","Motor coaches, buses and trolley buses",":",""
"2010","Hungary","Millions of passenger-kilometres","Total",":",""
"2010","Hungary","Millions of passenger-kilometres","Motorcycles",":",""
"2010","Hungary","Millions of passenger-kilometres","Passenger cars",":",""
"2010","Hungary","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","16,545",""
"2010","Netherlands","Millions of passenger-kilometres","Total",":",""
"2010","Netherlands","Millions of passenger-kilometres","Motorcycles",":",""
"2010","Netherlands","Millions of passenger-kilometres","Passenger cars","144,200",""
"2010","Netherlands","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","5,700",""
"2010","Austria","Millions of passenger-kilometres","Total",":",""
"2010","Austria","Millions of passenger-kilometres","Motorcycles",":",""
"2010","Austria","Millions of passenger-kilometres","Passenger cars",":",""
"2010","Austria","Millions of passenger-kilometres","Motor coaches, buses and trolley buses",":",""
"2010","Poland","Millions of passenger-kilometres","Total","233,614",""
"2010","Poland","Millions of passenger-kilometres","Motorcycles","3,153","e"
"2010","Poland","Millions of passenger-kilometres","Passenger cars","188,810","d"
"2010","Poland","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","41,651","d"
"2010","Portugal","Millions of passenger-kilometres","Total",":",""
"2010","Portugal","Millions of passenger-kilometres","Motorcycles",":",""
"2010","Portugal","Millions of passenger-kilometres","Passenger cars",":",""
"2010","Portugal","Millions of passenger-kilometres","Motor coaches, buses and trolley buses",":",""
"2010","Romania","Millions of passenger-kilometres","Total","11,955",""
"2010","Romania","Millions of passenger-kilometres","Motorcycles",":",""
"2010","Romania","Millions of passenger-kilometres","Passenger cars",":",""
"2010","Romania","Millions of passenger-kilometres","Motor coaches, buses and trolley buses",":",""
"2010","Slovenia","Millions of passenger-kilometres","Total","28,819",""
"2010","Slovenia","Millions of passenger-kilometres","Motorcycles",":",""
"2010","Slovenia","Millions of passenger-kilometres","Passenger cars","25,636",""
"2010","Slovenia","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","3,183",""
"2010","Slovakia","Millions of passenger-kilometres","Total","5,372.2",""
"2010","Slovakia","Millions of passenger-kilometres","Motorcycles",":",""
"2010","Slovakia","Millions of passenger-kilometres","Passenger cars",":",""
"2010","Slovakia","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","5,372.2",""
"2010","Finland","Millions of passenger-kilometres","Total","73,185",""
"2010","Finland","Millions of passenger-kilometres","Motorcycles","1,161",""
"2010","Finland","Millions of passenger-kilometres","Passenger cars","64,745",""
"2010","Finland","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","7,540",""
"2010","Sweden","Millions of passenger-kilometres","Total","108,685",""
"2010","Sweden","Millions of passenger-kilometres","Motorcycles","919",""
"2010","Sweden","Millions of passenger-kilometres","Passenger cars","99,207",""
"2010","Sweden","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","8,560",""
"2010","United Kingdom","Millions of passenger-kilometres","Total",":",""
"2010","United Kingdom","Millions of passenger-kilometres","Motorcycles",":",""
"2010","United Kingdom","Millions of passenger-kilometres","Passenger cars",":",""
"2010","United Kingdom","Millions of passenger-kilometres","Motor coaches, buses and trolley buses",":",""
"2010","Iceland","Millions of passenger-kilometres","Total",":",""
"2010","Iceland","Millions of passenger-kilometres","Motorcycles",":",""
"2010","Iceland","Millions of passenger-kilometres","Passenger cars",":",""
"2010","Iceland","Millions of passenger-kilometres","Motor coaches, buses and trolley buses",":",""
"2010","Liechtenstein","Millions of passenger-kilometres","Total",":",""
"2010","Liechtenstein","Millions of passenger-kilometres","Motorcycles",":",""
"2010","Liechtenstein","Millions of passenger-kilometres","Passenger cars",":",""
"2010","Liechtenstein","Millions of passenger-kilometres","Motor coaches, buses and trolley buses",":",""
"2010","Norway","Millions of passenger-kilometres","Total","64,700",""
"2010","Norway","Millions of passenger-kilometres","Motorcycles","1,364",""
"2010","Norway","Millions of passenger-kilometres","Passenger cars","58,831","d"
"2010","Norway","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","4,574",""
"2010","Switzerland","Millions of passenger-kilometres","Total","91,710",""
"2010","Switzerland","Millions of passenger-kilometres","Motorcycles","2,428","d"
"2010","Switzerland","Millions of passenger-kilometres","Passenger cars","83,775",""
"2010","Switzerland","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","5,508",""
"2010","North Macedonia","Millions of passenger-kilometres","Total","1,440",""
"2010","North Macedonia","Millions of passenger-kilometres","Motorcycles",":",""
"2010","North Macedonia","Millions of passenger-kilometres","Passenger cars",":",""
"2010","North Macedonia","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","1,440",""
"2010","Turkey","Millions of passenger-kilometres","Total","226,913",""
"2010","Turkey","Millions of passenger-kilometres","Motorcycles",":",""
"2010","Turkey","Millions of passenger-kilometres","Passenger cars","137,857",""
"2010","Turkey","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","89,056",""
"2011","Belgium","Millions of passenger-kilometres","Total","128,922",""
"2011","Belgium","Millions of passenger-kilometres","Motorcycles","1,268",""
"2011","Belgium","Millions of passenger-kilometres","Passenger cars","109,985",""
"2011","Belgium","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","17,669",""
"2011","Bulgaria","Millions of passenger-kilometres","Total","9,480.6",""
"2011","Bulgaria","Millions of passenger-kilometres","Motorcycles",":",""
"2011","Bulgaria","Millions of passenger-kilometres","Passenger cars",":",""
"2011","Bulgaria","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","9,480.6",""
"2011","Czechia","Millions of passenger-kilometres","Total","80,304",""
"2011","Czechia","Millions of passenger-kilometres","Motorcycles",":",""
"2011","Czechia","Millions of passenger-kilometres","Passenger cars","65,490",""
"2011","Czechia","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","14,814","d"
"2011","Denmark","Millions of passenger-kilometres","Total",":",""
"2011","Denmark","Millions of passenger-kilometres","Motorcycles",":",""
"2011","Denmark","Millions of passenger-kilometres","Passenger cars",":",""
"2011","Denmark","Millions of passenger-kilometres","Motor coaches, buses and trolley buses",":",""
"2011","Germany (until 1990 former territory of the FRG)","Millions of passenger-kilometres","Total","990,374",""
"2011","Germany (until 1990 former territory of the FRG)","Millions of passenger-kilometres","Motorcycles","11,887",""
"2011","Germany (until 1990 former territory of the FRG)","Millions of passenger-kilometres","Passenger cars","900,530",""
"2011","Germany (until 1990 former territory of the FRG)","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","77,957",""
"2011","Estonia","Millions of passenger-kilometres","Total",":",""
"2011","Estonia","Millions of passenger-kilometres","Motorcycles",":",""
"2011","Estonia","Millions of passenger-kilometres","Passenger cars",":",""
"2011","Estonia","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","1,725.4",""
"2011","Ireland","Millions of passenger-kilometres","Total","33,686.07",""
"2011","Ireland","Millions of passenger-kilometres","Motorcycles","114",""
"2011","Ireland","Millions of passenger-kilometres","Passenger cars","33,228.5",""
"2011","Ireland","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","343.44",""
"2011","Greece","Millions of passenger-kilometres","Total",":",""
"2011","Greece","Millions of passenger-kilometres","Motorcycles",":",""
"2011","Greece","Millions of passenger-kilometres","Passenger cars",":",""
"2011","Greece","Millions of passenger-kilometres","Motor coaches, buses and trolley buses",":",""
"2011","Spain","Millions of passenger-kilometres","Total","391,711","d"
"2011","Spain","Millions of passenger-kilometres","Motorcycles","1,948","d"
"2011","Spain","Millions of passenger-kilometres","Passenger cars","334,021","d"
"2011","Spain","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","55,742","d"
"2011","France","Millions of passenger-kilometres","Total","863,752",""
"2011","France","Millions of passenger-kilometres","Motorcycles",":",""
"2011","France","Millions of passenger-kilometres","Passenger cars","812,656",""
"2011","France","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","51,096",""
"2011","Croatia","Millions of passenger-kilometres","Total","29,455",""
"2011","Croatia","Millions of passenger-kilometres","Motorcycles","1,068",""
"2011","Croatia","Millions of passenger-kilometres","Passenger cars","25,242",""
"2011","Croatia","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","3,145","d"
"2011","Italy","Millions of passenger-kilometres","Total","816,570",""
"2011","Italy","Millions of passenger-kilometres","Motorcycles","42,923",""
"2011","Italy","Millions of passenger-kilometres","Passenger cars","665,328",""
"2011","Italy","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","108,319",""
"2011","Latvia","Millions of passenger-kilometres","Total","14,169.99",""
"2011","Latvia","Millions of passenger-kilometres","Motorcycles",":",""
"2011","Latvia","Millions of passenger-kilometres","Passenger cars","11,349.9",""
"2011","Latvia","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","2,820.09",""
"2011","Lithuania","Millions of passenger-kilometres","Total","32,917.9",""
"2011","Lithuania","Millions of passenger-kilometres","Motorcycles","262.1",""
"2011","Lithuania","Millions of passenger-kilometres","Passenger cars","29,907.8","d"
"2011","Lithuania","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","2,748",""
"2011","Luxembourg","Millions of passenger-kilometres","Total",":",""
"2011","Luxembourg","Millions of passenger-kilometres","Motorcycles",":",""
"2011","Luxembourg","Millions of passenger-kilometres","Passenger cars",":",""
"2011","Luxembourg","Millions of passenger-kilometres","Motor coaches, buses and trolley buses",":",""
"2011","Hungary","Millions of passenger-kilometres","Total",":",""
"2011","Hungary","Millions of passenger-kilometres","Motorcycles",":",""
"2011","Hungary","Millions of passenger-kilometres","Passenger cars","52,251",""
"2011","Hungary","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","16,456",""
"2011","Netherlands","Millions of passenger-kilometres","Total",":",""
"2011","Netherlands","Millions of passenger-kilometres","Motorcycles",":",""
"2011","Netherlands","Millions of passenger-kilometres","Passenger cars","144,400",""
"2011","Netherlands","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","5,900",""
"2011","Austria","Millions of passenger-kilometres","Total",":",""
"2011","Austria","Millions of passenger-kilometres","Motorcycles",":",""
"2011","Austria","Millions of passenger-kilometres","Passenger cars",":",""
"2011","Austria","Millions of passenger-kilometres","Motor coaches, buses and trolley buses",":",""
"2011","Poland","Millions of passenger-kilometres","Total","232,808",""
"2011","Poland","Millions of passenger-kilometres","Motorcycles","3,579",""
"2011","Poland","Millions of passenger-kilometres","Passenger cars","197,835",""
"2011","Poland","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","40,126",""
"2011","Portugal","Millions of passenger-kilometres","Total",":",""
"2011","Portugal","Millions of passenger-kilometres","Motorcycles",":",""
"2011","Portugal","Millions of passenger-kilometres","Passenger cars",":",""
"2011","Portugal","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","4,700","d"
"2011","Romania","Millions of passenger-kilometres","Total","15,529",""
"2011","Romania","Millions of passenger-kilometres","Motorcycles",":",""
"2011","Romania","Millions of passenger-kilometres","Passenger cars",":",""
"2011","Romania","Millions of passenger-kilometres","Motor coaches, buses and trolley buses",":",""
"2011","Slovenia","Millions of passenger-kilometres","Total",":",""
"2011","Slovenia","Millions of passenger-kilometres","Motorcycles",":",""
"2011","Slovenia","Millions of passenger-kilometres","Passenger cars",":",""
"2011","Slovenia","Millions of passenger-kilometres","Motor coaches, buses and trolley buses",":",""
"2011","Slovakia","Millions of passenger-kilometres","Total","5,418.9",""
"2011","Slovakia","Millions of passenger-kilometres","Motorcycles",":",""
"2011","Slovakia","Millions of passenger-kilometres","Passenger cars",":",""
"2011","Slovakia","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","5,418.9",""
"2011","Finland","Millions of passenger-kilometres","Total","73,446",""
"2011","Finland","Millions of passenger-kilometres","Motorcycles","1,161",""
"2011","Finland","Millions of passenger-kilometres","Passenger cars","65,490",""
"2011","Finland","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","7,540",""
"2011","Sweden","Millions of passenger-kilometres","Total",":",""
"2011","Sweden","Millions of passenger-kilometres","Motorcycles",":",""
"2011","Sweden","Millions of passenger-kilometres","Passenger cars",":",""
"2011","Sweden","Millions of passenger-kilometres","Motor coaches, buses and trolley buses",":",""
"2011","United Kingdom","Millions of passenger-kilometres","Total",":",""
"2011","United Kingdom","Millions of passenger-kilometres","Motorcycles",":",""
"2011","United Kingdom","Millions of passenger-kilometres","Passenger cars",":",""
"2011","United Kingdom","Millions of passenger-kilometres","Motor coaches, buses and trolley buses",":",""
"2011","Iceland","Millions of passenger-kilometres","Total",":",""
"2011","Iceland","Millions of passenger-kilometres","Motorcycles",":",""
"2011","Iceland","Millions of passenger-kilometres","Passenger cars",":",""
"2011","Iceland","Millions of passenger-kilometres","Motor coaches, buses and trolley buses",":",""
"2011","Liechtenstein","Millions of passenger-kilometres","Total",":",""
"2011","Liechtenstein","Millions of passenger-kilometres","Motorcycles",":",""
"2011","Liechtenstein","Millions of passenger-kilometres","Passenger cars",":",""
"2011","Liechtenstein","Millions of passenger-kilometres","Motor coaches, buses and trolley buses",":",""
"2011","Norway","Millions of passenger-kilometres","Total","66,055",""
"2011","Norway","Millions of passenger-kilometres","Motorcycles","1,404",""
"2011","Norway","Millions of passenger-kilometres","Passenger cars","59,903",""
"2011","Norway","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","4,748",""
"2011","Switzerland","Millions of passenger-kilometres","Total","92,978",""
"2011","Switzerland","Millions of passenger-kilometres","Motorcycles","2,483",""
"2011","Switzerland","Millions of passenger-kilometres","Passenger cars","74,135",""
"2011","Switzerland","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","5,606",""
"2011","North Macedonia","Millions of passenger-kilometres","Total","1,640",""
"2011","North Macedonia","Millions of passenger-kilometres","Motorcycles",":",""
"2011","North Macedonia","Millions of passenger-kilometres","Passenger cars",":",""
"2011","North Macedonia","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","1,640",""
"2011","Turkey","Millions of passenger-kilometres","Total","242,265",""
"2011","Turkey","Millions of passenger-kilometres","Motorcycles",":",""
"2011","Turkey","Millions of passenger-kilometres","Passenger cars","146,931",""
